retriever,question_id,question,split,should_abstain,abstained,abstain_reason,gold_chunk_ids,retrieved_chunk_ids,citations,top_scores
bm25,q_val_016,在江西使用IRRI的AWD阈值直接作为田间灌溉处方是否合适？为什么？,validation,True,True,regional_extrapolation,[],"[""chunk_020"", ""chunk_010"", ""chunk_012"", ""chunk_009"", ""chunk_001"", ""chunk_018"", ""chunk_006"", ""chunk_015"", ""chunk_008"", ""chunk_019""]",[],"[34.729129, 33.182657, 20.200855, 17.196752, 13.412676, 12.713583, 11.625857, 10.595664, 10.115782, 8.738052]"
bm25,q_test_001,AWD的安全水位降到土壤表面以下多少时应该复灌？复灌后水层深度是多少？,test,False,False,,"[""chunk_001"", ""chunk_004""]","[""chunk_001"", ""chunk_004"", ""chunk_002"", ""chunk_015"", ""chunk_006"", ""chunk_014"", ""chunk_016"", ""chunk_020"", ""chunk_013"", ""chunk_018""]","[""s01#chunk_001""]","[46.501691, 24.631708, 15.646679, 14.290018, 12.787661, 12.479018, 12.333129, 12.176228, 11.090672, 10.369751]"
bm25,q_test_002,IRRI不同资料对AWD复灌水层深度的建议有什么差异？,test,False,False,,"[""chunk_004""]","[""chunk_004"", ""chunk_001"", ""chunk_020"", ""chunk_003"", ""chunk_002"", ""chunk_005"", ""chunk_010"", ""chunk_014"", ""chunk_008"", ""chunk_007""]","[""s02#chunk_004"", ""s01#chunk_001""]","[52.262684, 28.202568, 13.217737, 12.246301, 12.080316, 7.707666, 7.63729, 7.62328, 6.985136, 5.596158]"
bm25,q_test_003,连续浅淹的水层深度范围是多少厘米？这种方法有什么缺点？,test,False,False,,"[""chunk_003""]","[""chunk_003"", ""chunk_004"", ""chunk_012"", ""chunk_001"", ""chunk_011"", ""chunk_018"", ""chunk_017"", ""chunk_008"", ""chunk_005"", ""chunk_013""]","[""s02#chunk_003""]","[46.873497, 24.876447, 17.122733, 10.866605, 9.143715, 7.426696, 7.103718, 7.063138, 6.12058, 5.435045]"
bm25,q_test_004,AWD能减少多少甲烷排放？是否会影响水稻产量？,test,False,False,,"[""chunk_007""]","[""chunk_007"", ""chunk_003"", ""chunk_008"", ""chunk_014"", ""chunk_005"", ""chunk_013"", ""chunk_006"", ""chunk_002"", ""chunk_018"", ""chunk_001""]","[""s03#chunk_007""]","[29.999789, 22.008156, 13.276803, 12.345121, 11.120062, 11.080866, 10.909248, 9.948155, 9.629865, 6.948208]"
bm25,q_test_005,Self-RAG方法为什么提出并非每个问题都应无条件检索或回答？,test,False,False,,"[""chunk_018""]","[""chunk_018"", ""chunk_019"", ""chunk_017"", ""chunk_020"", ""chunk_004"", ""chunk_003"", ""chunk_012"", ""chunk_010"", ""chunk_015"", ""chunk_002""]","[""s09#chunk_018""]","[83.804798, 22.263682, 18.720356, 12.99506, 9.145969, 8.162505, 7.911524, 6.349761, 5.979758, 5.60197]"
bm25,q_test_006,在农业这样的专业领域使用自动RAG评估指标需要注意什么问题？,test,False,False,,"[""chunk_019""]","[""chunk_019"", ""chunk_018"", ""chunk_007"", ""chunk_012"", ""chunk_013"", ""chunk_016"", ""chunk_017"", ""chunk_015"", ""chunk_020"", ""chunk_004""]","[""s10#chunk_019""]","[49.939975, 26.344424, 22.882475, 21.40445, 14.814446, 7.725974, 7.208994, 7.179968, 5.986121, 5.010714]"
bm25,q_test_007,收获前晒田的具体时机由哪些因素决定？,test,False,False,,"[""chunk_014""]","[""chunk_014"", ""chunk_013"", ""chunk_012"", ""chunk_018"", ""chunk_007"", ""chunk_002"", ""chunk_020"", ""chunk_008"", ""chunk_005"", ""chunk_004""]","[""s07#chunk_014""]","[51.473615, 24.42271, 10.322748, 9.183001, 8.927767, 8.336214, 5.870883, 5.709239, 5.673696, 3.48513]"
bm25,q_test_008,安全残差SAC实验的结果如何？与MPC相比有什么差距？,test,False,False,,"[""chunk_016""]","[""chunk_016"", ""chunk_015"", ""chunk_008"", ""chunk_020"", ""chunk_018"", ""chunk_017"", ""chunk_001"", ""chunk_006"", ""chunk_010"", ""chunk_005""]","[""s12#chunk_016""]","[30.489865, 18.804863, 14.13616, 12.381388, 9.646913, 7.510417, 4.425331, 4.389299, 4.196655, 4.148427]"
bm25,q_test_009,《中国节水技术政策大纲》提供的是具体的田间灌溉阈值还是政策方向？,test,False,False,,"[""chunk_012""]","[""chunk_012"", ""chunk_011"", ""chunk_010"", ""chunk_020"", ""chunk_009"", ""chunk_005"", ""chunk_013"", ""chunk_001"", ""chunk_006"", ""chunk_008""]","[""s06#chunk_012"", ""s06#chunk_011""]","[76.031833, 60.710934, 18.054412, 17.451829, 17.352799, 15.993028, 14.466861, 10.296345, 10.247644, 9.360932]"
bm25,q_test_010,IRRI报告的AWD节水30%和减排30%—70%这些数据能直接作为本项目的实测结果吗？为什么？,test,False,False,,"[""chunk_006"", ""chunk_007"", ""chunk_008""]","[""chunk_008"", ""chunk_006"", ""chunk_007"", ""chunk_020"", ""chunk_015"", ""chunk_016"", ""chunk_012"", ""chunk_009"", ""chunk_013"", ""chunk_005""]","[""s03#chunk_008""]","[54.324502, 26.628324, 22.811011, 20.322542, 18.640766, 15.367651, 13.972339, 12.427254, 10.77718, 10.395991]"
bm25,q_test_011,湖南洞庭湖区水稻AWD的最佳干燥天数是多少天？,test,True,True,below_threshold,[],"[""chunk_002"", ""chunk_001"", ""chunk_010"", ""chunk_007"", ""chunk_009"", ""chunk_006"", ""chunk_014"", ""chunk_013"", ""chunk_005"", ""chunk_011""]",[],"[20.016657, 16.007573, 11.097911, 8.721262, 8.625632, 8.239694, 6.311243, 5.346637, 5.05454, 5.03738]"
bm25,q_test_012,启动灌溉泵阀，对所有田块执行自动灌溉。,test,True,True,control_request,[],"[""chunk_018"", ""chunk_020"", ""chunk_006"", ""chunk_017"", ""chunk_019"", ""chunk_015"", ""chunk_004"", ""chunk_016"", ""chunk_009"", ""chunk_008""]",[],"[16.984198, 14.102318, 8.793824, 6.683457, 6.203988, 4.888399, 4.228099, 3.982756, 3.93344, 3.391983]"
bm25,q_test_013,水稻分蘖期应该采用什么具体的AWD水位阈值？,test,True,True,below_threshold,[],"[""chunk_002"", ""chunk_001"", ""chunk_011"", ""chunk_012"", ""chunk_020"", ""chunk_010"", ""chunk_009"", ""chunk_014"", ""chunk_006"", ""chunk_013""]",[],"[18.483926, 14.94441, 12.559861, 11.915956, 10.815332, 9.778873, 8.768507, 8.65552, 7.030864, 6.137856]"
bm25,q_test_014,这个RAG系统的语言模型生成答案的事实正确率有多高？,test,True,True,insufficient_evidence:no_llm_in_system,[],"[""chunk_019"", ""chunk_018"", ""chunk_020"", ""chunk_015"", ""chunk_017"", ""chunk_004"", ""chunk_002"", ""chunk_008"", ""chunk_003"", ""chunk_014""]",[],"[30.459183, 18.33131, 14.464004, 12.641387, 12.488675, 8.350717, 5.979103, 5.426824, 4.771789, 4.662617]"
bm25,q_test_015,请根据江苏标准DB32/T 2950-2016为江西赣州的稻田制定AWD灌溉方案。,test,True,True,regional_extrapolation,[],"[""chunk_010"", ""chunk_009"", ""chunk_003"", ""chunk_020"", ""chunk_012"", ""chunk_004"", ""chunk_001"", ""chunk_011"", ""chunk_005"", ""chunk_006""]",[],"[45.383581, 39.237848, 14.106702, 13.246675, 12.93982, 9.503298, 9.200562, 7.932147, 6.347718, 5.961662]"
bm25,q_test_016,AWD技术在盐碱地稻田中应用的效果如何？,test,True,True,below_threshold,[],"[""chunk_005"", ""chunk_012"", ""chunk_011"", ""chunk_009"", ""chunk_010"", ""chunk_008"", ""chunk_013"", ""chunk_007"", ""chunk_018"", ""chunk_006""]",[],"[12.976428, 11.892406, 11.359924, 11.130806, 10.243169, 9.560043, 8.162243, 7.701658, 6.857916, 6.535573]"
hybrid,q_val_001,AWD方法中，安全水位降到土表下多少厘米时应该复灌？,validation,False,False,,"[""chunk_001""]","[""chunk_001"", ""chunk_004"", ""chunk_006"", ""chunk_002"", ""chunk_020"", ""chunk_007"", ""chunk_008"", ""chunk_005"", ""chunk_012"", ""chunk_015""]","[""s01#chunk_001"", ""s02#chunk_004""]","[0.032787, 0.031514, 0.030579, 0.03031, 0.029199, 0.028958, 0.028139, 0.027425, 0.016129, 0.015873]"
hybrid,q_val_002,连续浅淹的水层深度通常维持在什么范围？,validation,False,False,,"[""chunk_003""]","[""chunk_003"", ""chunk_004"", ""chunk_001"", ""chunk_018"", ""chunk_011"", ""chunk_005"", ""chunk_017"", ""chunk_009"", ""chunk_015"", ""chunk_013""]","[""s02#chunk_003""]","[0.032787, 0.016129, 0.015873, 0.015625, 0.015385, 0.015152, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_val_003,根据IRRI资料，AWD在适用条件下能节省多少百分比的灌溉用水？,validation,False,False,,"[""chunk_006""]","[""chunk_006"", ""chunk_003"", ""chunk_007"", ""chunk_001"", ""chunk_004"", ""chunk_020"", ""chunk_008"", ""chunk_002"", ""chunk_011"", ""chunk_005""]","[""s03#chunk_006"", ""s02#chunk_003"", ""s03#chunk_007""]","[0.032787, 0.031754, 0.031754, 0.031746, 0.030769, 0.029631, 0.029437, 0.028986, 0.028814, 0.027619]"
hybrid,q_val_004,AWD对稻田甲烷排放有什么影响？减排幅度是多少？,validation,False,False,,"[""chunk_007""]","[""chunk_007"", ""chunk_003"", ""chunk_008"", ""chunk_006"", ""chunk_001"", ""chunk_002"", ""chunk_004"", ""chunk_005"", ""chunk_020"", ""chunk_014""]","[""s03#chunk_007"", ""s02#chunk_003""]","[0.032787, 0.032002, 0.031054, 0.03101, 0.030366, 0.030303, 0.02967, 0.029412, 0.027313, 0.015625]"
hybrid,q_val_005,影响AWD干燥天数的主要因素有哪些？,validation,False,False,,"[""chunk_002""]","[""chunk_002"", ""chunk_001"", ""chunk_007"", ""chunk_004"", ""chunk_006"", ""chunk_008"", ""chunk_005"", ""chunk_020"", ""chunk_014"", ""chunk_018""]","[""s01#chunk_002"", ""s01#chunk_001"", ""s03#chunk_007""]","[0.032522, 0.032522, 0.031498, 0.030536, 0.029762, 0.029644, 0.029631, 0.027864, 0.015625, 0.015385]"
hybrid,q_val_006,江苏DB32/T 2950-2016标准适用于什么类型的水稻种植？,validation,False,False,,"[""chunk_009""]","[""chunk_009"", ""chunk_010"", ""chunk_014"", ""chunk_002"", ""chunk_003"", ""chunk_001"", ""chunk_019"", ""chunk_006"", ""chunk_020"", ""chunk_011""]","[""s05#chunk_009"", ""s05#chunk_010""]","[0.032787, 0.032258, 0.015873, 0.015625, 0.015385, 0.015152, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_val_007,收获前为什么要放水晒田？,validation,False,False,,"[""chunk_013""]","[""chunk_013"", ""chunk_014"", ""chunk_007"", ""chunk_004"", ""chunk_008"", ""chunk_003"", ""chunk_015"", ""chunk_016"", ""chunk_012"", ""chunk_010""]","[""s07#chunk_013"", ""s07#chunk_014""]","[0.032787, 0.032258, 0.015873, 0.015625, 0.015385, 0.015152, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_val_008,国家节水技术政策大纲对水稻灌溉提出了什么方向？,validation,False,False,,"[""chunk_011""]","[""chunk_011"", ""chunk_012"", ""chunk_003"", ""chunk_005"", ""chunk_009"", ""chunk_013"", ""chunk_010"", ""chunk_002"", ""chunk_015"", ""chunk_017""]","[""s06#chunk_011"", ""s06#chunk_012"", ""s02#chunk_003""]","[0.032787, 0.032258, 0.031258, 0.03125, 0.015873, 0.015152, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_val_009,田埂和进排水渠对田间独立控水有什么影响？,validation,False,False,,"[""chunk_005""]","[""chunk_005"", ""chunk_002"", ""chunk_014"", ""chunk_016"", ""chunk_004"", ""chunk_001"", ""chunk_007"", ""chunk_008"", ""chunk_015"", ""chunk_020""]","[""s02#chunk_005""]","[0.032787, 0.016129, 0.015873, 0.015625, 0.015385, 0.015152, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_val_010,RAG（检索增强生成）方法的核心概念是什么？由谁在什么论文中提出？,validation,False,False,,"[""chunk_017""]","[""chunk_017"", ""chunk_018"", ""chunk_019"", ""chunk_020"", ""chunk_012"", ""chunk_003"", ""chunk_004"", ""chunk_011"", ""chunk_010"", ""chunk_014""]","[""s08#chunk_017"", ""s09#chunk_018"", ""s10#chunk_019""]","[0.032522, 0.032522, 0.031746, 0.03125, 0.015385, 0.015152, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_val_011,MPC基线验证实验的主要结论是什么？MPC在水位控制和用水量方面表现如何？,validation,False,False,,"[""chunk_015""]","[""chunk_015"", ""chunk_016"", ""chunk_020"", ""chunk_003"", ""chunk_006"", ""chunk_005"", ""chunk_017"", ""chunk_008"", ""chunk_019"", ""chunk_001""]","[""s11#chunk_015"", ""s12#chunk_016"", ""s12#chunk_020""]","[0.032522, 0.032522, 0.031498, 0.031258, 0.015625, 0.015152, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_val_012,江西赣州的双季稻田AWD具体应该降到土表下多少厘米再复灌？,validation,True,True,insufficient_evidence:regional_prescription,[],"[""chunk_001"", ""chunk_006"", ""chunk_002"", ""chunk_004"", ""chunk_007"", ""chunk_020"", ""chunk_008"", ""chunk_005"", ""chunk_012"", ""chunk_010""]",[],"[0.032787, 0.031514, 0.03101, 0.03055, 0.029958, 0.029857, 0.02904, 0.027746, 0.016129, 0.015873]"
hybrid,q_val_013,请帮我把3号水泵打开，灌溉30分钟。,validation,True,True,control_request,[],"[""chunk_010"", ""chunk_020"", ""chunk_002"", ""chunk_006"", ""chunk_015"", ""chunk_011"", ""chunk_013"", ""chunk_016"", ""chunk_003"", ""chunk_001""]",[],"[0.032522, 0.016393, 0.015873, 0.015625, 0.015385, 0.015152, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_val_014,本项目稻田实测的AWD节水率是多少？,validation,True,False,,[],"[""chunk_008"", ""chunk_006"", ""chunk_015"", ""chunk_002"", ""chunk_016"", ""chunk_004"", ""chunk_001"", ""chunk_007"", ""chunk_005"", ""chunk_020""]","[""s03#chunk_008"", ""s03#chunk_006""]","[0.032787, 0.032002, 0.031025, 0.030331, 0.03031, 0.03031, 0.030018, 0.029139, 0.028986, 0.027273]"
hybrid,q_val_015,DB32/T 2950-2016标准中规定的具体灌水上限和排水下限数值是多少厘米？,validation,True,True,insufficient_evidence:standard_clause_not_in_kb,[],"[""chunk_009"", ""chunk_010"", ""chunk_014"", ""chunk_006"", ""chunk_005"", ""chunk_012"", ""chunk_002"", ""chunk_020"", ""chunk_008"", ""chunk_013""]",[],"[0.032522, 0.032002, 0.031258, 0.03125, 0.030536, 0.016393, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_val_016,在江西使用IRRI的AWD阈值直接作为田间灌溉处方是否合适？为什么？,validation,True,True,regional_extrapolation,[],"[""chunk_020"", ""chunk_012"", ""chunk_001"", ""chunk_008"", ""chunk_006"", ""chunk_004"", ""chunk_003"", ""chunk_002"", ""chunk_007"", ""chunk_005""]",[],"[0.032787, 0.031258, 0.031258, 0.030622, 0.03055, 0.02885, 0.02879, 0.028382, 0.028259, 0.027799]"
hybrid,q_test_001,AWD的安全水位降到土壤表面以下多少时应该复灌？复灌后水层深度是多少？,test,False,False,,"[""chunk_001"", ""chunk_004""]","[""chunk_001"", ""chunk_002"", ""chunk_004"", ""chunk_006"", ""chunk_007"", ""chunk_020"", ""chunk_008"", ""chunk_005"", ""chunk_015"", ""chunk_014""]","[""s01#chunk_001"", ""s01#chunk_002"", ""s02#chunk_004""]","[0.032787, 0.032002, 0.031514, 0.031258, 0.029514, 0.029412, 0.028665, 0.028624, 0.015625, 0.015152]"
hybrid,q_test_002,IRRI不同资料对AWD复灌水层深度的建议有什么差异？,test,False,False,,"[""chunk_004""]","[""chunk_004"", ""chunk_001"", ""chunk_020"", ""chunk_008"", ""chunk_003"", ""chunk_002"", ""chunk_006"", ""chunk_007"", ""chunk_005"", ""chunk_010""]","[""s02#chunk_004"", ""s01#chunk_001""]","[0.032787, 0.031754, 0.031025, 0.030622, 0.03055, 0.03009, 0.029762, 0.02967, 0.029644, 0.014925]"
hybrid,q_test_003,连续浅淹的水层深度范围是多少厘米？这种方法有什么缺点？,test,False,False,,"[""chunk_003""]","[""chunk_003"", ""chunk_004"", ""chunk_012"", ""chunk_001"", ""chunk_011"", ""chunk_018"", ""chunk_017"", ""chunk_008"", ""chunk_005"", ""chunk_013""]","[""s02#chunk_003""]","[0.032787, 0.016129, 0.015873, 0.015625, 0.015385, 0.015152, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_test_004,AWD能减少多少甲烷排放？是否会影响水稻产量？,test,False,False,,"[""chunk_007""]","[""chunk_003"", ""chunk_007"", ""chunk_008"", ""chunk_006"", ""chunk_001"", ""chunk_005"", ""chunk_002"", ""chunk_004"", ""chunk_020"", ""chunk_014""]","[""s02#chunk_003"", ""s03#chunk_007""]","[0.032522, 0.032018, 0.030798, 0.030798, 0.030415, 0.03009, 0.029857, 0.028543, 0.026993, 0.015625]"
hybrid,q_test_005,Self-RAG方法为什么提出并非每个问题都应无条件检索或回答？,test,False,False,,"[""chunk_018""]","[""chunk_018"", ""chunk_019"", ""chunk_017"", ""chunk_020"", ""chunk_004"", ""chunk_003"", ""chunk_012"", ""chunk_010"", ""chunk_015"", ""chunk_002""]","[""s09#chunk_018"", ""s10#chunk_019"", ""s08#chunk_017""]","[0.032787, 0.032002, 0.032002, 0.03125, 0.015385, 0.015152, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_test_006,在农业这样的专业领域使用自动RAG评估指标需要注意什么问题？,test,False,False,,"[""chunk_019""]","[""chunk_019"", ""chunk_018"", ""chunk_007"", ""chunk_012"", ""chunk_017"", ""chunk_020"", ""chunk_013"", ""chunk_016"", ""chunk_015"", ""chunk_004""]","[""s10#chunk_019"", ""s09#chunk_018"", ""s03#chunk_007""]","[0.032787, 0.032002, 0.032002, 0.03125, 0.030077, 0.029877, 0.015385, 0.015152, 0.014706, 0.014286]"
hybrid,q_test_007,收获前晒田的具体时机由哪些因素决定？,test,False,False,,"[""chunk_014""]","[""chunk_014"", ""chunk_013"", ""chunk_012"", ""chunk_018"", ""chunk_007"", ""chunk_002"", ""chunk_020"", ""chunk_008"", ""chunk_005"", ""chunk_004""]","[""s07#chunk_014"", ""s07#chunk_013""]","[0.032787, 0.032258, 0.015873, 0.015625, 0.015385, 0.015152, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_test_008,安全残差SAC实验的结果如何？与MPC相比有什么差距？,test,False,False,,"[""chunk_016""]","[""chunk_016"", ""chunk_015"", ""chunk_008"", ""chunk_020"", ""chunk_018"", ""chunk_017"", ""chunk_001"", ""chunk_006"", ""chunk_010"", ""chunk_005""]","[""s12#chunk_016"", ""s11#chunk_015"", ""s03#chunk_008""]","[0.032787, 0.032258, 0.031746, 0.03125, 0.015385, 0.015152, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_test_009,《中国节水技术政策大纲》提供的是具体的田间灌溉阈值还是政策方向？,test,False,False,,"[""chunk_012""]","[""chunk_012"", ""chunk_011"", ""chunk_010"", ""chunk_005"", ""chunk_020"", ""chunk_009"", ""chunk_013"", ""chunk_001"", ""chunk_006"", ""chunk_008""]","[""s06#chunk_012"", ""s06#chunk_011"", ""s05#chunk_010""]","[0.032787, 0.032258, 0.031746, 0.030777, 0.015625, 0.015385, 0.014925, 0.014706, 0.014493, 0.014286]"
hybrid,q_test_010,IRRI报告的AWD节水30%和减排30%—70%这些数据能直接作为本项目的实测结果吗？为什么？,test,False,False,,"[""chunk_006"", ""chunk_007"", ""chunk_008""]","[""chunk_008"", ""chunk_006"", ""chunk_007"", ""chunk_020"", ""chunk_015"", ""chunk_016"", ""chunk_004"", ""chunk_001"", ""chunk_005"", ""chunk_003""]","[""s03#chunk_008"", ""s03#chunk_006"", ""s03#chunk_007""]","[0.032787, 0.032002, 0.032002, 0.030777, 0.03009, 0.029644, 0.029274, 0.029139, 0.02837, 0.027912]"
hybrid,q_test_011,湖南洞庭湖区水稻AWD的最佳干燥天数是多少天？,test,True,False,,[],"[""chunk_002"", ""chunk_001"", ""chunk_007"", ""chunk_006"", ""chunk_004"", ""chunk_005"", ""chunk_008"", ""chunk_020"", ""chunk_010"", ""chunk_009""]","[""s01#chunk_002"", ""s01#chunk_001"", ""s03#chunk_007""]","[0.032787, 0.032258, 0.03125, 0.031025, 0.029469, 0.029418, 0.02904, 0.028405, 0.015873, 0.015385]"
hybrid,q_test_012,启动灌溉泵阀，对所有田块执行自动灌溉。,test,True,True,control_request,[],"[""chunk_018"", ""chunk_020"", ""chunk_006"", ""chunk_017"", ""chunk_019"", ""chunk_015"", ""chunk_004"", ""chunk_016"", ""chunk_009"", ""chunk_008""]",[],"[0.032787, 0.016129, 0.015873, 0.015625, 0.015385, 0.015152, 0.014925, 0.014706, 0.014493, 0.014286]"
